,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
48,"Clarks Corners, Tam O'Shanter, Sullivan",43.7816375,-79.3043021,Popeyes Louisiana Kitchen,43.780476,-79.29846,Fried Chicken Joint
49,"Clarks Corners, Tam O'Shanter, Sullivan",43.7816375,-79.3043021,Circle K,43.7809377,-79.2986338,Convenience Store
50,"Clarks Corners, Tam O'Shanter, Sullivan",43.7816375,-79.3043021,Gusto Pizza,43.78360724036883,-79.29898327417831,Pizza Place
51,"Milliken, Agincourt North, Steeles East, L'Amoreaux East",43.8152522,-79.2845772,McNicoll & Brimley,43.815460842842725,-79.28171615206458,Intersection
52,"Milliken, Agincourt North, Steeles East, L'Amoreaux East",43.8152522,-79.2845772,Port Royal Park,43.815477,-79.289773,Park
53,"Milliken, Agincourt North, Steeles East, L'Amoreaux East",43.8152522,-79.2845772,Milliken Public School Playground,43.81538282984429,-79.2898673242174,Playground
54,"Steeles West, L'Amoreaux West",43.7995252,-79.3183887,Mr Congee Chinese Cuisine 龍粥記,43.798878792587615,-79.3183345011537,Chinese Restaurant
55,"Steeles West, L'Amoreaux West",43.7995252,-79.3183887,Price Chopper,43.799444969304986,-79.3185634598668,Grocery Store
56,"Steeles West, L'Amoreaux West",43.7995252,-79.3183887,RBC Royal Bank,43.798235996624136,-79.31795225759826,Bank
57,"Steeles West, L'Amoreaux West",43.7995252,-79.3183887,Subway,43.79867122318589,-79.31847549171897,Sandwich Place
58,"Steeles West, L'Amoreaux West",43.7995252,-79.3183887,KFC,43.7989384013184,-79.31885368338149,Fast Food Restaurant
59,"Steeles West, L'Amoreaux West",43.7995252,-79.3183887,Shoppers Drug Mart,43.799966,-79.317985,Pharmacy
60,"Steeles West, L'Amoreaux West",43.7995252,-79.3183887,Tim Hortons,43.7991018,-79.3187148,Coffee Shop
61,"Steeles West, L'Amoreaux West",43.7995252,-79.3183887,Pizza Pizza,43.79790927666095,-79.31811332702635,Pizza Place
62,"Steeles West, L'Amoreaux West",43.7995252,-79.3183887,McDonald's,43.79824882031983,-79.31816666829309,Fast Food Restaurant
63,"Steeles West, L'Amoreaux West",43.7995252,-79.3183887,Eggsmart,43.796375,-79.318681,Breakfast Spot
64,"Steeles West, L'Amoreaux West",43.7995252,-79.3183887,One's Better Living,43.798866,-79.31859,Furniture / Home Store
65,"Steeles West, L'Amoreaux West",43.7995252,-79.3183887,Nantha's Bakery,43.79643013115188,-79.3191507994383,Indian Restaurant
66,Hillcrest Village,43.8037622,-79.3634517,New York Fries,43.80366383775661,-79.36390544874158,Fast Food Restaurant
67,Hillcrest Village,43.8037622,-79.3634517,Eagle's Nest Golf Club,43.805454826002794,-79.36418592243415,Golf Course
68,Hillcrest Village,43.8037622,-79.3634517,AY Jackson Pool,43.804515413699576,-79.36613821581467,Pool
69,Hillcrest Village,43.8037622,-79.3634517,Villa Madina,43.80168506227364,-79.36393844569061,Mediterranean Restaurant
70,Hillcrest Village,43.8037622,-79.3634517,Duncan Creek Park,43.80553928816196,-79.36069456944033,Dog Run
71,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,The LEGO Store,43.77820727238842,-79.34348299621146,Toy / Game Store
72,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,CF Fairview Mall,43.77798094562394,-79.3443966988859,Shopping Mall
73,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Apple Fairview,43.7778832,-79.3437891,Electronics Store
74,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Moxie's Classic Grill,43.777778810576905,-79.34318499889385,American Restaurant
75,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Purdys Chocolatier,43.77816,-79.344154,Chocolate Shop
76,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Starbucks,43.77799,-79.344091,Coffee Shop
77,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Michel's Baguette,43.77708227220403,-79.34455653003414,Bakery
78,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,De Berardini's,43.77806925637981,-79.34264197549473,Salon / Barbershop
79,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,SilverCity,43.77868093228815,-79.3440850072426,Movie Theater
80,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Booster Juice,43.77742786,-79.3449699,Juice Bar
81,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,New York Fries - Fairview Mall,43.77860499015611,-79.34357713182652,Restaurant
82,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Hero Certified Burgers,43.7772948385197,-79.34458372068603,Burger Joint
83,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Aroma Espresso Bar,43.777700197902725,-79.34465166972005,Coffee Shop
84,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Shoppers Drug Mart,43.77817,-79.345014,Pharmacy
85,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,H&M,43.77754859086118,-79.34560423018411,Clothing Store
86,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Fairview Library Theatre,43.779018057023805,-79.34652599431665,Theater
87,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Hudson's Bay,43.777830351654046,-79.34304327486974,Department Store
88,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Old Navy,43.7779901,-79.3440914,Clothing Store
89,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Ten Ren's Tea Time,43.777158444629066,-79.34453087278449,Juice Bar
90,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,LCBO,43.77895496200283,-79.34504796258686,Liquor Store
91,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,RBC Royal Bank,43.777303882018465,-79.3446527392512,Bank
92,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,TD Canada Trust,43.777763,-79.345974,Bank
93,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,EB Games,43.7781866230844,-79.3433096596408,Video Game Store
94,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Fairview Mall Food Garden,43.77836930887007,-79.34321606591291,Food Court
95,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Thai Express,43.77799,-79.344091,Restaurant
96,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Tim Hortons,43.777964,-79.344715,Coffee Shop
97,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Tim Hortons,43.7749925,-79.3463027,Coffee Shop
98,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Tommy Hilfiger,43.77742747193735,-79.34589327979445,Clothing Store
99,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Heart Sushi,43.777203,-79.343805,Japanese Restaurant
100,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Bourbon St. Grill,43.77827649168577,-79.34324149162853,Fast Food Restaurant
101,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Tim Hortons,43.77524918178477,-79.34773966670036,Coffee Shop
102,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,KFC,43.7776,-79.3442,Fast Food Restaurant
103,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Spring Rolls,43.777350695180374,-79.34397727347279,Asian Restaurant
104,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Hollister Co.,43.778088689883695,-79.34370423838938,Clothing Store
105,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Zara,43.777961241763556,-79.34469070057258,Clothing Store
106,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,SEPHORA,43.7784228,-79.3437426,Cosmetics Shop
107,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Z•teca,43.777216678163484,-79.3444011179068,Burrito Place
108,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,SportChek,43.777760996766865,-79.34315772052062,Sporting Goods Shop
109,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,McDonald's,43.7784074,-79.3435742,Fast Food Restaurant
110,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,St. Louis Bar & Grill,43.77721460733997,-79.34508093497027,Bar
111,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Forever XXI,43.778289762312255,-79.34330244159452,Clothing Store
112,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Druxy's,43.77878702526164,-79.34444702976553,Deli / Bodega
113,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,The Face Shop,43.777601,-79.344614,Cosmetics Shop
114,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,BCBG Max Azria,43.77696607091188,-79.34701924857568,Boutique
115,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Aritzia,43.777511314096465,-79.34554778515995,Women's Store
116,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,GNC,43.77843789497575,-79.344162940979,Supplement Shop
117,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Gateway Newstand (Fairview),43.77837592341407,-79.34480667114258,Convenience Store
118,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Bath & Body Works,43.778348810835624,-79.34386521577835,Distribution Center
119,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Little Burgundy,43.777959836647625,-79.34381611104504,Shoe Store
120,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Nine West,43.77805192489,-79.34367061050186,Shoe Store
121,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Dynamite,43.77812931492771,-79.34362321088628,Women's Store
122,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Bentley,43.77824084141985,-79.34353859382264,Luggage Store
123,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Virgin Mobile,43.777767624066016,-79.34359360079512,Mobile Phone Shop
124,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Peoples Jewellers,43.7780567,-79.3434308,Jewelry Store
125,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Jimmy The Greek,43.77824451598338,-79.34332200351092,Greek Restaurant
126,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Manchu Wok,43.77822514623288,-79.34330206344342,Chinese Restaurant
127,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Mr Sub,43.77825560280745,-79.34325028086052,Sandwich Place
128,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Taco Bell,43.77861083632695,-79.34318593865498,Restaurant
129,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Yoi,43.778244,-79.34301,Japanese Restaurant
130,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Don Mills Station Bus Terminal,43.77592896385145,-79.3469536135742,Bus Station
131,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Fit For Life,43.77935234078756,-79.35056822110249,Fast Food Restaurant
132,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Circle K,43.7754422,-79.3478394,Convenience Store
133,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Don Mills & Sheppard,43.77532334196787,-79.34699846901431,Intersection
134,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Little Burgandy,43.776128164003495,-79.34318654842812,Shoe Store
135,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Oriole Park,43.78081676843454,-79.35132725701995,Baseball Field
136,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,Michel's Baguette,43.77432584600824,-79.34668494032192,Bakery
137,"Willowdale, Willowdale East",43.7701199,-79.4084928,Loblaws,43.768722,-79.412101,Grocery Store
138,"Willowdale, Willowdale East",43.7701199,-79.4084928,Konjiki Ramen,43.76699771023422,-79.41222209328754,Ramen Restaurant
139,"Willowdale, Willowdale East",43.7701199,-79.4084928,Cineplex Cinemas,43.76862539839479,-79.41261307104753,Movie Theater
140,"Willowdale, Willowdale East",43.7701199,-79.4084928,Aroma Espresso Bar,43.76944882099181,-79.41308107735675,Café
141,"Willowdale, Willowdale East",43.7701199,-79.4084928,The Keg,43.7665789176648,-79.41213141222555,Steakhouse
142,"Willowdale, Willowdale East",43.7701199,-79.4084928,Starbucks,43.768353,-79.413046,Coffee Shop
143,"Willowdale, Willowdale East",43.7701199,-79.4084928,Saryo,43.76697902009232,-79.41220491675689,Café
144,"Willowdale, Willowdale East",43.7701199,-79.4084928,Wako Sushi + Bar,43.77080606720809,-79.41313811956255,Japanese Restaurant
145,"Willowdale, Willowdale East",43.7701199,-79.4084928,Dairy Queen,43.76701557770687,-79.4120009150447,Ice Cream Shop
146,"Willowdale, Willowdale East",43.7701199,-79.4084928,Michaels,43.76724487394571,-79.41197372883607,Arts & Crafts Store
147,"Willowdale, Willowdale East",43.7701199,-79.4084928,Booster Juice,43.76889,-79.4129899,Juice Bar
148,"Willowdale, Willowdale East",43.7701199,-79.4084928,Empress Walk,43.768540252857974,-79.4126707082784,Shopping Mall
149,"Willowdale, Willowdale East",43.7701199,-79.4084928,Mel Lastman Square,43.76770145783431,-79.41297541544051,Plaza
150,"Willowdale, Willowdale East",43.7701199,-79.4084928,Aura,43.766012799364795,-79.41081286441447,Lounge
151,"Willowdale, Willowdale East",43.7701199,-79.4084928,Symposium Cafe Restaurant & Lounge,43.77107544003332,-79.41339624610163,Restaurant
152,"Willowdale, Willowdale East",43.7701199,-79.4084928,Aburi Room,43.769197,-79.414039,Sushi Restaurant
153,"Willowdale, Willowdale East",43.7701199,-79.4084928,Starbucks,43.768464,-79.414017,Coffee Shop
154,"Willowdale, Willowdale East",43.7701199,-79.4084928,PetSmart,43.769139,-79.412522,Pet Store
155,"Willowdale, Willowdale East",43.7701199,-79.4084928,Subway,43.768507,-79.41398454232785,Sandwich Place
156,"Willowdale, Willowdale East",43.7701199,-79.4084928,Dollarama,43.768722,-79.412101,Discount Store
157,"Willowdale, Willowdale East",43.7701199,-79.4084928,Best Buy,43.76811518063931,-79.4126082683499,Electronics Store
158,"Willowdale, Willowdale East",43.7701199,-79.4084928,Ajisen Ramen 味千ラーメン,43.771444,-79.413139,Ramen Restaurant
159,"Willowdale, Willowdale East",43.7701199,-79.4084928,Wendy’s,43.76846127243853,-79.4123771060805,Fast Food Restaurant
160,"Willowdale, Willowdale East",43.7701199,-79.4084928,TD Canada Trust,43.7706589,-79.4135465,Bank
161,"Willowdale, Willowdale East",43.7701199,-79.4084928,Shawarma Max,43.76601170897119,-79.41084443679077,Middle Eastern Restaurant
162,"Willowdale, Willowdale East",43.7701199,-79.4084928,Boston Pizza,43.76966566980136,-79.41305666054794,Pizza Place
163,"Willowdale, Willowdale East",43.7701199,-79.4084928,Kinton Ramen,43.76968375926793,-79.41304877291766,Ramen Restaurant
164,"Willowdale, Willowdale East",43.7701199,-79.4084928,Subway,43.77140090446779,-79.41345717293876,Sandwich Place
165,"Willowdale, Willowdale East",43.7701199,-79.4084928,Pho 88 Vietnamese Cuisine,43.77045596393368,-79.41306424537943,Vietnamese Restaurant
166,"Willowdale, Willowdale East",43.7701199,-79.4084928,Freshslice Pizza,43.771353408025305,-79.4134865956423,Pizza Place
167,"Willowdale, Willowdale East",43.7701199,-79.4084928,Ten Ren's Tea Time 喫茶新饌,43.769574852327395,-79.41259669370922,Bubble Tea Shop
168,"Willowdale, Willowdale East",43.7701199,-79.4084928,North York City Centre,43.76861773238915,-79.41315993696033,Shopping Mall
169,"Willowdale, Willowdale East",43.7701199,-79.4084928,Novotel Toronto North York,43.76872304736466,-79.41425730725825,Hotel
170,"Willowdale, Willowdale East",43.7701199,-79.4084928,PROJECT:FISH,43.7691,-79.414305,Sushi Restaurant
171,"Willowdale, Willowdale East",43.7701199,-79.4084928,Trio Restaurant,43.769057691735014,-79.41437684224671,Restaurant
172,York Mills West,43.7527583,-79.4000493,Kitchen Food Fair,43.751297901387304,-79.40139340223642,Convenience Store
173,York Mills West,43.7527583,-79.4000493,Tournament Park,43.75125720420175,-79.39971685409546,Park
174,"Willowdale, Willowdale West",43.7827364,-79.4422593,Tov-Li,43.78421369713337,-79.44609771646198,Pizza Place
175,"Willowdale, Willowdale West",43.7827364,-79.4422593,Shoppers Drug Mart,43.784847,-79.446028,Pharmacy
176,"Willowdale, Willowdale West",43.7827364,-79.4422593,Dollarama,43.78467,-79.4466696,Discount Store
177,"Willowdale, Willowdale West",43.7827364,-79.4422593,Tim Hortons,43.7809395,-79.4442308,Coffee Shop
178,"Willowdale, Willowdale West",43.7827364,-79.4422593,Price Chopper,43.783237418498096,-79.44633923214607,Grocery Store
179,Parkwoods,43.7532586,-79.3296565,Brookbanks Park,43.751976046055574,-79.33214044722958,Park
180,Parkwoods,43.7532586,-79.3296565,Variety Store,43.75197441585782,-79.33311418516017,Food & Drink Shop
181,"Bathurst Manor, Wilson Heights, Downsview North",43.7543283,-79.4422593,Wolfie's Deli,43.754875481443555,-79.44243785404784,Deli / Bodega
182,"Bathurst Manor, Wilson Heights, Downsview North",43.7543283,-79.4422593,Bagel Plus,43.75539484400371,-79.4406859789969,Restaurant
183,"Bathurst Manor, Wilson Heights, Downsview North",43.7543283,-79.4422593,Starbucks,43.755797,-79.440471,Coffee Shop
184,"Bathurst Manor, Wilson Heights, Downsview North",43.7543283,-79.4422593,Best for Bride,43.7557891,-79.4378344,Bridal Shop
185,"Bathurst Manor, Wilson Heights, Downsview North",43.7543283,-79.4422593,Tim Hortons,43.75476686520758,-79.44325044751167,Coffee Shop
186,"Bathurst Manor, Wilson Heights, Downsview North",43.7543283,-79.4422593,Orly Restaurant & Grill,43.754493246006334,-79.44350727697311,Middle Eastern Restaurant
187,"Bathurst Manor, Wilson Heights, Downsview North",43.7543283,-79.4422593,Dairy Queen,43.75567964325238,-79.44016579234159,Ice Cream Shop
188,"Bathurst Manor, Wilson Heights, Downsview North",43.7543283,-79.4422593,TD Canada Trust,43.7562323,-79.4390254,Bank
189,"Bathurst Manor, Wilson Heights, Downsview North",43.7543283,-79.4422593,Wakame Sushi,43.755382185036986,-79.44094461257187,Sushi Restaurant
190,"Bathurst Manor, Wilson Heights, Downsview North",43.7543283,-79.4422593,Pizza Pizza,43.75531145041057,-79.44112566629565,Pizza Place
191,"Bathurst Manor, Wilson Heights, Downsview North",43.7543283,-79.4422593,Wimpy's Diner,43.75620987159905,-79.43929448082638,Diner
192,"Bathurst Manor, Wilson Heights, Downsview North",43.7543283,-79.4422593,RBC Royal Bank,43.755697951682755,-79.43818263436917,Bank
193,"Bathurst Manor, Wilson Heights, Downsview North",43.7543283,-79.4422593,Popeyes Louisiana Kitchen,43.754671343663034,-79.44274006861691,Fried Chicken Joint
194,"Bathurst Manor, Wilson Heights, Downsview North",43.7543283,-79.4422593,Subway,43.755741275340625,-79.44050193032683,Sandwich Place
195,"Bathurst Manor, Wilson Heights, Downsview North",43.7543283,-79.4422593,Sheppard Plaza,43.75569512647938,-79.43961347354475,Shopping Mall
196,"Bathurst Manor, Wilson Heights, Downsview North",43.7543283,-79.4422593,Petro-Canada,43.755112,-79.438838,Gas Station
197,"Bathurst Manor, Wilson Heights, Downsview North",43.7543283,-79.4422593,Shoppers Drug Mart,43.756239,-79.439599,Pharmacy
198,"Bathurst Manor, Wilson Heights, Downsview North",43.7543283,-79.4422593,Metro,43.75608379050764,-79.43978950381364,Supermarket
199,"Bathurst Manor, Wilson Heights, Downsview North",43.7543283,-79.4422593,Sunrise Foods & Catering,43.75517797040956,-79.4416685761199,Grocery Store
200,"Bathurst Manor, Wilson Heights, Downsview North",43.7543283,-79.4422593,Yogurty's,43.756190568366485,-79.43941837290544,Frozen Yogurt Shop
201,"Bathurst Manor, Wilson Heights, Downsview North",43.7543283,-79.4422593,All In The Cards,43.756162,-79.439348,Gift Shop
202,"Bathurst Manor, Wilson Heights, Downsview North",43.7543283,-79.4422593,Burnett Park,43.75758512081283,-79.43985525270034,Park
203,"Northwood Park, York University",43.7679803,-79.4872619,MUSE Massage Spa,43.7656861872247,-79.4893183666046,Massage Studio
204,"Northwood Park, York University",43.7679803,-79.4872619,Carribean Heat,43.764155,-79.490227,Caribbean Restaurant
205,"Northwood Park, York University",43.7679803,-79.4872619,Tim Hortons,43.764289283166015,-79.48879033327103,Coffee Shop
206,"Northwood Park, York University",43.7679803,-79.4872619,Fox & Fiddle,43.76379461939549,-79.48849672002802,Bar
207,"Northwood Park, York University",43.7679803,-79.4872619,Bad Boy Furniture - North York,43.76431446505117,-79.4865882396698,Furniture / Home Store
208,"Northwood Park, York University",43.7679803,-79.4872619,Finch West Subway Station,43.76510685746509,-79.49117202171209,Metro Station
209,Downsview,43.7374732,-79.4647633,Toronto Downsview Airport (YZD),43.738882611749744,-79.47011109314882,Airport
210,Downsview,43.7374732,-79.4647633,Ancaster Park,43.73470570807407,-79.46477740817078,Park
211,Downsview,43.7390146,-79.5069436,TD Canada Trust,43.7402356,-79.5125502,Bank
212,Downsview,43.7390146,-79.5069436,Giltspur Park,43.73572426577187,-79.50782060623169,Park
213,Downsview,43.7390146,-79.5069436,Win Farm Supermarket,43.739193173128825,-79.51205313205719,Grocery Store
214,Downsview,43.7390146,-79.5069436,Price Chopper,43.73990841084056,-79.51226143309357,Grocery Store
215,Downsview,43.7390146,-79.5069436,jane sheppard mall,43.740104399774324,-79.51255243633483,Shopping Mall
216,Downsview,43.7284964,-79.4956974,Roding Park,43.728655041194294,-79.49291760986993,Baseball Field
217,Downsview,43.7284964,-79.4956974,Yummy Dogs,43.72651174068901,-79.50127950136176,Food Truck
